Element,Wavelength_A
Fe II,2003.9099999999999
Fe II,2005.759
Fe II,2007.015
Fe II,2007.2219999999998
Fe II,2007.441
Fe II,2007.708
Fe II,2007.963
Fe II,2008.5480000000002
Fe II,2009.031
Fe II,2009.991
Fe II,2010.6970000000001
Fe II,2010.952
Fe II,2011.062
Fe II,2012.227
Fe II,2012.671
Fe II,2013.259
Fe II,2013.6619999999998
Fe II,2014.1309999999999
Fe II,2015.487
Fe II,2016.08
Fe II,2017.0249999999999
Fe II,2017.0939999999998
Fe II,2017.852
Fe II,2018.778
Fe II,2019.19
Fe II,2019.8249999999998
Fe II,2020.75
